Country,CO2_emission
United States,5290.09664945
China,5071.245114409334
Russia,1676.4913717193335
Japan,1134.3634428623332
India,1023.2133196441282
Germany,858.7675970003214
United Kingdom,554.5226569143846
Canada,503.21173568151283
South Korea,421.5844736503333
Italy,406.3541480560256
